 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 271412  83304  10764 507180    0    0     0     0  507  413  1 19 81  0  0
 0  0 271412  83432  10764 507184    0    0     0     0  506  350  0 24 76  0  0
 0  0 271412  85708  10764 507184    0    0     0     0  424  403  1 10 90  0  0
 2  0 271412  90384  10764 507188    0    0     0     0  532  406  0 27 73  0  0
 4  0 271412  75900  10772 508104    0    0    32    88 1182 2902  7 24 69  0  0
 0  0 271412  73360  10772 508260    0    0    12     0  774 1026  2 15 84  0  0
 0  0 271412  74484  10772 508264    0    0     0     0  886  474  1 26 73  0  0
 0  0 271412  77848  10772 508264    0    0     0     0  522  402  1 21 78  0  0
 1  0 271412  75556  10772 508268    0    0     0    36  744  754  2 23 75  0  0
 0  0 271412  75076  10772 508272    0    0     0     0  635  498  1 17 83  0  0
 0  0 271412  74764  10800 508176    0    0     0   156  673  548  1 21 78  0  0
 0  0 271412  74628  10800 508168    0    0     0     0  748  532  1 22 77  0  0
 1  0 271412  72224  10800 508168    0    0     0     0  605  456  1 13 87  0  0
 0  0 271412  75236  10800 508172    0    0     0   108  690  636  1 12 87  0  0
 6  0 271412  72116  10800 508172    0    0     0     0  786  596  0 22 78  0  0
 1  0 271412  72740  10812 508184    0    0     0    64  745  640  1 22 77  0  0
 0  0 271412  74456  10812 508184    0    0     0     0  595  522  1 16 83  0  0
 2  0 271412  75940  10812 508184    0    0     0     0  752  579  0 16 84  0  0
 0  0 271412  80784  10812 508192    0    0     0     0  720  552  1 15 84  0  0
 0  0 271412  74432  10812 508196    0    0     0     0  705  808  1 22 77  0  0
 0  0 271412  75080  10820 508200    0    0     0    16  802  737  1 31 68  0  0
 2  0 271412  71192  10820 508200    0    0     0     0  873  622  0 43 57  0  0
 3  0 271412  74308  10820 508212    0    0     0     0  861  708  0 43 57  0  0
 1  0 271412  78064  10820 508216    0    0     0     8  765  657  1 37 62  0  0
 0  0 271412  74592  10820 508220    0    0     0     0  791  586  1 35 64  0  0
 0  0 271412  74280  10832 508228    0    0     0    40  808  766  1 34 65  0  0
