 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  16468  89784  37144 775748    0    0     0    28 1421  441  1 48 51  0  0
 1  0  16468  89784  37144 775752    0    0     0     0 1108  421  0 28 72  0  0
 0  0  16468  89784  37144 775756    0    0     0     0 1222  395  0 44 56  0  0
 2  0  16468  89784  37144 775760    0    0     0     4 1157  456  0 31 69  0  0
 0  0  16468  89784  37144 775768    0    0     0     0  848  393  1 22 77  0  0
 2  0  16468  89784  37152 775764    0    0     0    16 1343  439  0 42 58  0  0
 0  0  16468  89784  37152 775780    0    0     0     0 1041  411  0 29 71  0  0
 0  0  16468  89784  37152 775784    0    0     0     0 1340  441  1 47 52  0  0
 1  0  16468  89784  37152 775788    0    0     0     0 1537  476  0 51 49  0  0
 0  0  16468  89784  37152 775796    0    0     0     0 1502  468  1 57 42  0  0
 3  0  16468  89784  37160 775792    0    0     0    16 1402  425  1 51 48  0  0
 2  0  16468  89784  37160 775808    0    0     0     0 1678  496  0 63 37  0  0
 0  0  16468  89784  37160 775812    0    0     0     0 1287  427  0 37 63  0  0
 1  0  16468  89784  37160 775820    0    0     0    44 1316  549  2 46 52  0  0
 0  0  16468  89784  37160 775824    0    0     0     0 1404  547  1 54 45  0  0
 0  0  16468  89784  37160 775828    0    0     0     0  663  487  1 18 81  0  0
 0  0  16468  89784  37168 775832    0    0     0    16   56   97  0  0 100  0  0
 0  0  16468  89784  37168 775832    0    0     0     0   52  100  0  0 100  0  0
 0  0  16468  89784  37168 775832    0    0     0     0   68  134  2  0 98  0  0
