"(PDH-CSV 4.0) (ora solare Europa occidentale)(-60)","\\CLAUDIO\Disco fisico(_Total)\% Tempo disco","\\CLAUDIO\Disco fisico(_Total)\% Tempo inattività","\\CLAUDIO\Disco fisico(_Total)\% Tempo lettura disco","\\CLAUDIO\Disco fisico(_Total)\% Tempo scrittura disco","\\CLAUDIO\Disco fisico(_Total)\Letture disco/sec","\\CLAUDIO\Disco fisico(_Total)\Scritture disco/sec","\\CLAUDIO\Disco fisico(_Total)\Suddivisione IO/sec","\\CLAUDIO\Disco fisico(_Total)\Trasferimenti disco/sec","\\CLAUDIO\Memoria\% Byte vincolati in uso","\\CLAUDIO\Memoria\Errore di richiesta nulla/sec","\\CLAUDIO\Memoria\Errori cache/sec","\\CLAUDIO\Memoria\Errori di pagina/sec","\\CLAUDIO\Memoria\Errori in transizione/sec","\\CLAUDIO\Memoria\Input pagine/sec","\\CLAUDIO\Memoria\Letture pagine/sec","\\CLAUDIO\Memoria\MByte disponibili","\\CLAUDIO\Memoria\Output pagine/sec","\\CLAUDIO\Memoria\Pagine/sec","\\CLAUDIO\Memoria\Scritture in copia/sec","\\CLAUDIO\Memoria\Scritture pagine/sec","\\CLAUDIO\Processore(_Total)\% Tempo di interrupt","\\CLAUDIO\Processore(_Total)\% Tempo DPC","\\CLAUDIO\Processore(_Total)\% Tempo inattività","\\CLAUDIO\Processore(_Total)\% Tempo privilegiato","\\CLAUDIO\Processore(_Total)\% Tempo processore","\\CLAUDIO\Processore(_Total)\% Tempo utente","\\CLAUDIO\Processore(_Total)\Interrupt/sec"
"11/29/2023 18:14:33.373","0.032088687572678277482","99.948702098084183376","0","0.032088687572678277482","0","3.9996652280204147978","0","3.9996652280204147978","69.471984791912134938","3603.6983704463937102","2312.8064181028048552","6659.4426046539902018","1385.8840015090736415","0","0","5658","0","0","0","0","0","0.097656005869359949201","0","1.6600921022330188404","100","98.042870046615092861","44102.308636767098506"
"11/29/2023 18:14:34.369","0.072600416184822533228","99.896957810634106067","0","0.072600416184822533228","0","2.0080635801122990181","0","2.0080635801122990181","69.471239407889356698","3473.9499935942772026","2313.2892442893685256","6564.3598433871056841","1381.5477431172616889","0","0","5658","0","0","0","0","0.098042188361885218573","0.39218883377285823633","0","1.7648698323031792867","100","98.832851171255256872","44056.914947663841303"
"11/29/2023 18:14:35.365","0.47791188650195104426","99.472148329391728794","0.083393616161453895663","0.39451827034049713472","1.0040201972718962864","18.072363550894134931","0","19.07638374816603033","69.470476282171546245","3593.3882860361172789","2322.2987162898962197","6719.9071803408023698","1408.6403367724706186","0","0","5658","0","0","0","0","0.098052258058362470883","0","0","2.6473105659189588579","100","97.558251786270972161","44172.872599174348579"
"11/29/2023 18:14:36.353","0.071512859504774969888","99.904528003481871679","0","0.071512859504774969888","0","2.0252415986649605628","0","2.0252415986649605628","69.471629841595799348","3340.6360169978524937","2342.1919088560271121","5975.4753368609663084","852.62671303794843425","0","0","5658","0","0","0","0","0.19777933432282068793","0.19777933432282068793","0","1.4833601970684588967","100","98.396469439897956022","44031.790217374240456"
"11/29/2023 18:14:37.363","1.5354497879357671408","98.436047939653988692","1.1296760334103259638","0.40577375452544117707","99.991416578398670367","33.660476867975788196","0","133.65189344637445856","69.470547272234810521","5812.3723438789957072","2323.5629179158581792","12570.208082137900419","4451.1030587770337661","484.11685848353414485","99.991416578398670367","5660","0","484.11685848353414485","165.33234226329284411","0","0.19336796968284861165","0.29004205446438746652","0","2.5136846052781773864","100","97.066998358273067993","45367.392719852665323"
"11/29/2023 18:14:38.362","0.65804418891420313198","99.32494329327519722","0.55087533407080924164","0.10716885484339376544","47.034923430647253895","11.008173568874889625","0","58.043096999522141743","69.503680888913493163","6979.1820426666799904","2516.8687750654862612","13241.83206030477595","4032.9944984150729397","208.15455475690700382","46.034180378931353061","5658","0","208.15455475690700382","163.12111742969153738","0","0.097721903776798985097","0.097731911140216981559","0","1.7591143563433973007","100","98.216797919909467396","44967.388285802204337"
"11/29/2023 18:14:39.369","71.58235207140694456","60.127428420319148472","71.267872266920846869","0.31447980448609130777","1268.0393995828476363","85.396545312548866491","0","1353.4359448953964602","69.647289432968790379","32803.196213954091945","3878.5919301257658844","63333.454146275340463","28652.526918530202238","10042.037938904728435","1249.1727209672844765","5614","0","10042.037938904728435","1617.5694455132802432","0","0","0.096978425924758207555","0","9.9883905920798046196","100","90.186470466911501376","56234.618071398457687"
"11/29/2023 18:14:40.365","5.9922104649051046721","94.014770665350937406","5.48988047501418297","0.50232998989092159103","507.25393212199082882","80.357058553978745863","0","587.61099067596956047","69.709883041146653682","35759.895519752470136","2780.3542259676646609","42322.053813916754734","8354.1206999180158164","2003.9041476898451037","484.15127778772193778","5605","0","2003.9041476898451037","420.87009417646368092","0","0.1961848273822630051","0.78474935432078729569","0","6.2779948345662983655","100","94.169922518494473707","47627.628604943201935"
"11/29/2023 18:14:41.361","15.381464319130088825","84.992742470608177996","12.790269800173714287","2.5911945189563736491","1212.8563983044507495","1056.2292475300348542","0","2269.0856458344856037","69.716680135977611599","4322.3069492555141551","3662.6656796478778233","8932.7676951280627691","1490.9699929487660484","868.4774706401902904","788.1558548584386017","5603","0","868.4774706401902904","0","0","0.19610439798148615598","0.29413651665296020044","0","3.6277908004226104843","100","95.695271516539008871","50823.50238590338995"
"11/29/2023 18:14:42.373","0.22864802469999331858","99.744638172206805393","0","0.22864802469999331858","0","11.855718279679951621","0","11.855718279679951621","69.711604497793970836","3665.3929014677187297","2276.2979096985509386","6793.3265742566127301","1430.590005748047588","0","0","5602","0","0","0","0","0.19295387877702943613","0.28943575784806879758","0","2.5084300621965307521","100","97.63591734053815685","44248.504549335499178"
"11/29/2023 18:14:43.367","0.072122852511633819828","99.895985748065584175","0","0.072122852511633819828","0","2.0121145392177219868","0","2.0121145392177219868","69.708782730090618429","3541.3215890231908816","2327.0104646052955104","6661.1051820802695147","1377.2924020945308712","0","0","5601","0","0","0","0","0.098249655130229596178","0.29473890501232197225","0","1.3754448699313801541","100","98.737110643236448482","44175.974708525092865"
